+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|               eth_rx_clk |                clk_nobuf |                                           eth0.e1/m100.u0/nft.rx_fifo0/inf.x0/rfd_reg_0_7_24_29/RAMB_D1/I|
|               eth_rx_clk |                clk_nobuf |                                              eth0.e1/m100.u0/nft.rx_fifo0/inf.x0/rfd_reg_0_7_18_23/RAMB/I|
|               eth_rx_clk |                clk_nobuf |                                           eth0.e1/m100.u0/nft.rx_fifo0/inf.x0/rfd_reg_0_7_24_29/RAMC_D1/I|
|               eth_rx_clk |                clk_nobuf |                                           eth0.e1/m100.u0/nft.rx_fifo0/inf.x0/rfd_reg_0_7_18_23/RAMB_D1/I|
|               eth_rx_clk |                clk_nobuf |                                              eth0.e1/m100.u0/nft.rx_fifo0/inf.x0/rfd_reg_0_7_18_23/RAMA/I|
|               eth_rx_clk |                clk_nobuf |                                              eth0.e1/m100.u0/nft.rx_fifo0/inf.x0/rfd_reg_0_7_30_31/RAMA/I|
|               eth_rx_clk |                clk_nobuf |                                           eth0.e1/m100.u0/nft.rx_fifo0/inf.x0/rfd_reg_0_7_18_23/RAMC_D1/I|
|                clk_nobuf |               eth_tx_clk |                                            eth0.e1/m100.u0/ethc0/tx_rmii0.tx0/gmiimode0.r_reg[data][13]/D|
|                clk_nobuf |               eth_tx_clk |                                            eth0.e1/m100.u0/ethc0/tx_rmii0.tx0/gmiimode0.r_reg[start][0]/D|
|                clk_nobuf |               eth_tx_clk |                                            eth0.e1/m100.u0/ethc0/tx_rmii0.tx0/gmiimode0.r_reg[data][21]/D|
|                clk_nobuf |               eth_tx_clk |                                 eth0.e1/m100.u0/ethc0/tx_rmii0.tx0/gmiimode0.r_reg[txd][2]_lopt_replica/D|
|                clk_nobuf |               eth_tx_clk |                                            eth0.e1/m100.u0/ethc0/tx_rmii0.tx0/gmiimode0.r_reg[data][10]/D|
|                clk_nobuf |               eth_tx_clk |                                            eth0.e1/m100.u0/ethc0/tx_rmii0.tx0/gmiimode0.r_reg[data][12]/D|
|                clk_nobuf |               eth_rx_clk |                                           eth0.e1/m100.u0/ethc0/rx_rmii0.rx0/gmiimode0.r_reg[status][3]/D|
|                clk_nobuf |               eth_rx_clk |                                         eth0.e1/m100.u0/ethc0/rx_rmii0.rx0/gmiimode0.r_reg[done_ack][0]/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
